x1,x2,x3,x4
2,Miscellaneous Investigation,25,28
3,Motor Vehicle Theft,26,22
3,Rape,24,28
3,Assault,24,28
3,Larceny Theft,25,9
0,Larceny Theft,29,30
20,Larceny Theft,22,10
20,Larceny Theft,25,26
8,Larceny Theft,25,21
12,Larceny Theft,33,26
14,Larceny Theft,24,30
9,Larceny Theft,26,29
1,Malicious Mischief,21,18
15,Larceny Theft,23,16
17,Larceny Theft,27,29
2,Larceny Theft,19,15
9,Lost Property,28,30
18,Larceny Theft,27,29
4,Larceny Theft,18,33
21,Larceny Theft,25,16
8,Lost Property,27,16
16,Larceny Theft,24,13
11,Larceny Theft,22,2
23,Lost Property,25,29
13,Larceny Theft,20,18
23,Lost Property,25,29
4,Larceny Theft,24,18
4,Other Miscellaneous,24,18
4,Other Miscellaneous,24,18
4,Motor Vehicle Theft,16,21
3,Other,19,26
3,Non-Criminal,7,11
5,Burglary,7,33
7,Assault,24,27
14,Embezzlement,25,26
10,Suspicious Occ,25,8
5,Larceny Theft,12,5
16,Other,5,32
6,Non-Criminal,23,14
17,Missing Person,24,14
20,Assault,7,38
20,Other Miscellaneous,7,38
20,Suspicious Occ,7,38
9,Lost Property,19,26
7,Civil Sidewalks,21,19
13,Motor Vehicle Theft,22,32
20,Motor Vehicle Theft,10,31
20,Motor Vehicle Theft,26,15
7,Malicious Mischief,30,20
7,Warrant,26,27
7,Non-Criminal,26,27
6,Suspicious Occ,19,31
22,Fraud,30,28
8,Non-Criminal,15,32
9,Fraud,12,28
5,Malicious Mischief,25,27
5,Suspicious Occ,25,27
8,Other Offenses,24,22
9,Missing Person,28,23
12,Fraud,23,31
18,Malicious Mischief,19,3
7,Suspicious Occ,27,30
0,Suspicious Occ,26,27
9,Suspicious Occ,28,30
4,Burglary,21,11
8,Fraud,16,30
21,Motor Vehicle Theft,11,30
8,Offences Against The Family And Children,23,30
8,Case Closure,23,30
17,Motor Vehicle Theft,17,25
0,Burglary,26,27
0,Other Miscellaneous,26,27
0,Warrant,26,27
9,Drug Offense,8,28
9,Warrant,8,28
9,Other Miscellaneous,8,28
11,Larceny Theft,33,28
0,Miscellaneous Investigation,26,29
21,Burglary,24,15
21,Motor Vehicle Theft,2,26
10,Non-Criminal,26,30
0,Suspicious Occ,26,27
9,Miscellaneous Investigation,12,28
0,Malicious Mischief,15,26
11,Robbery,23,26
7,Warrant,23,29
7,Other Miscellaneous,23,29
21,Assault,17,27
8,Non-Criminal,16,24
23,Malicious Mischief,19,28
8,Larceny Theft,8,29
12,Recovered Vehicle,24,13
0,Burglary,7,30
11,Larceny Theft,32,25
3,Larceny Theft,8,28
9,Larceny Theft,4,5
14,Larceny Theft,26,29
11,Motor Vehicle Theft,27,26
14,Larceny Theft,33,26
12,Warrant,16,32
10,Suspicious Occ,11,20
12,Malicious Mischief,6,15
21,Motor Vehicle Theft,30,19
11,Larceny Theft,19,13
23,Motor Vehicle Theft,13,29
11,Larceny Theft,23,22
4,Other Miscellaneous,23,26
13,Recovered Vehicle,26,26
20,Larceny Theft,5,19
12,Larceny Theft,31,26
12,Other Miscellaneous,24,27
12,Lost Property,2,33
12,Other Miscellaneous,25,26
12,Other Miscellaneous,25,26
11,Larceny Theft,20,12
8,Burglary,8,30
12,Warrant,27,26
12,Missing Person,27,26
16,Motor Vehicle Theft,1,14
11,Larceny Theft,33,28
14,Larceny Theft,33,29
13,Assault,27,32
13,Disorderly Conduct,27,32
13,Other Miscellaneous,27,32
18,Motor Vehicle Theft,27,24
12,Larceny Theft,31,26
11,Non-Criminal,33,27
7,Larceny Theft,31,26
11,Larceny Theft,19,7
13,Offences Against The Family And Children,23,28
13,Larceny Theft,15,19
17,Motor Vehicle Theft,25,4
14,Robbery,26,29
14,Assault,26,29
14,Offences Against The Family And Children,26,29
13,Larceny Theft,33,27
15,Burglary,4,29
13,Larceny Theft,24,24
14,Non-Criminal,24,23
4,Larceny Theft,24,18
4,Other Miscellaneous,24,18
4,Other Miscellaneous,24,18
13,Warrant,32,27
10,Forgery And Counterfeiting,22,32
15,Larceny Theft,25,25
15,Robbery,25,21
15,Malicious Mischief,7,22
15,Suspicious Occ,5,23
15,Other Miscellaneous,5,23
20,Motor Vehicle Theft,26,20
15,Larceny Theft,39,37
7,Disorderly Conduct,23,27
16,Other Miscellaneous,21,19
9,Larceny Theft,9,18
9,Case Closure,9,18
11,Non-Criminal,12,23
11,Miscellaneous Investigation,12,23
18,Motor Vehicle Theft,21,17
13,Drug Offense,23,27
13,Drug Offense,23,27
13,Other Miscellaneous,23,27
3,Suspicious Occ,23,16
10,Larceny Theft,32,29
15,Assault,31,22
12,Burglary,17,14
11,Larceny Theft,25,30
16,Non-Criminal,22,23
16,Larceny Theft,29,29
16,Offences Against The Family And Children,29,29
12,Larceny Theft,33,25
2,Larceny Theft,22,6
8,Weapons Offense,13,3
8,Disorderly Conduct,13,3
23,Missing Person,26,14
20,Larceny Theft,7,11
10,Burglary,20,30
22,Larceny Theft,20,23
10,Non-Criminal,27,29
11,Larceny Theft,23,3
11,Non-Criminal,23,3
11,Larceny Theft,23,28
17,Recovered Vehicle,23,27
4,Non-Criminal,30,28
17,Motor Vehicle Theft,25,23
10,Other Offenses,22,32
13,Other Miscellaneous,11,22
15,Suspicious Occ,4,31
15,Other Miscellaneous,4,31
19,Warrant,21,18
19,Civil Sidewalks,21,18
19,Other Miscellaneous,26,28
17,Larceny Theft,29,26
22,Forgery And Counterfeiting,26,22
19,Assault,23,16
19,Non-Criminal,23,16
15,Disorderly Conduct,25,27
18,Other Miscellaneous,21,19
18,Warrant,21,19
18,Missing Person,21,19
18,Larceny Theft,33,27
18,Non-Criminal,23,3
17,Robbery,26,29
19,Larceny Theft,19,26
19,Larceny Theft,24,26
15,Non-Criminal,26,27
20,Assault,6,22
17,Assault,2,29
17,Miscellaneous Investigation,2,29
18,Other Miscellaneous,10,24
18,Civil Sidewalks,21,17
10,Miscellaneous Investigation,11,28
19,Larceny Theft,25,19
18,Suspicious Occ,27,30
17,Malicious Mischief,12,24
18,Larceny Theft,30,15
17,Larceny Theft,26,31
19,Larceny Theft,33,27
17,Larceny Theft,28,30
17,Other Miscellaneous,28,30
19,Robbery,5,21
19,Other Miscellaneous,23,14
19,Other Miscellaneous,23,14
21,Robbery,27,30
21,Assault,27,30
21,Case Closure,27,30
21,Robbery,27,29
21,Case Closure,27,29
14,Robbery,8,35
14,Case Closure,8,35
8,Malicious Mischief,26,34
2,Burglary,21,24
21,Assault,24,29
11,Burglary,30,30
18,Larceny Theft,18,34
11,Larceny Theft,19,13
14,Larceny Theft,22,33
11,Burglary,27,29
11,Other Miscellaneous,27,29
12,Larceny Theft,7,11
15,Miscellaneous Investigation,17,9
15,Motor Vehicle Theft,6,35
15,Stolen Property,6,35
16,Offences Against The Family And Children,9,35
17,Recovered Vehicle,23,27
17,Other Miscellaneous,23,27
16,Robbery,40,37
16,Disorderly Conduct,40,37
16,Other Miscellaneous,40,37
10,Larceny Theft,7,11
19,Robbery,9,33
17,Assault,8,33
17,Offences Against The Family And Children,8,33
19,Assault,21,18
19,Drug Offense,21,18
17,Assault,18,26
17,Other Miscellaneous,18,26
18,Assault,11,14
18,Assault,11,14
18,Other Miscellaneous,11,14
19,Robbery,8,34
20,Recovered Vehicle,22,29
17,Suspicious Occ,16,32
17,Missing Person,25,20
17,Missing Person,25,20
20,Larceny Theft,23,19
20,Larceny Theft,10,28
12,Suspicious Occ,21,31
17,Larceny Theft,26,23
13,Robbery,24,16
13,Non-Criminal,24,16
15,Larceny Theft,27,29
20,Non-Criminal,13,12
15,Other,4,11
21,Non-Criminal,5,19
17,Fraud,23,27
17,Fraud,23,27
17,Larceny Theft,23,27
18,Larceny Theft,27,29
17,Recovered Vehicle,17,30
21,Offences Against The Family And Children,26,34
15,Other Miscellaneous,17,20
15,Other Miscellaneous,17,20
20,Offences Against The Family And Children,25,30
19,Arson,22,24
21,Larceny Theft,15,27
22,Burglary,31,22
22,Larceny Theft,31,22
0,Non-Criminal,25,28
22,Larceny Theft,30,31
10,Larceny Theft,14,29
23,Larceny Theft,20,25
20,Assault,17,11
20,Offences Against The Family And Children,17,11
20,Motor Vehicle Theft,29,27
15,Miscellaneous Investigation,21,31
19,Larceny Theft,27,29
16,Burglary,6,27
0,Non-Criminal,17,9
20,Larceny Theft,22,21
23,Prostitution,17,27
23,Other Miscellaneous,17,27
18,Suspicious Occ,18,25
21,Suspicious Occ,4,35
1,Robbery,9,33
0,Other Miscellaneous,17,22
0,Other Miscellaneous,17,22
15,Missing Person,21,23
1,Non-Criminal,8,29
1,Other Miscellaneous,8,29
2,Non-Criminal,25,28
0,Other Miscellaneous,28,25
0,Malicious Mischief,28,25
0,Non-Criminal,28,25
1,Robbery,7,23
1,Non-Criminal,9,24
23,Larceny Theft,25,30
16,Disorderly Conduct,2,16
16,Suspicious Occ,2,16
2,Non-Criminal,21,25
2,Other Miscellaneous,21,25
2,Assault,4,17
23,Assault,11,35
2,Other Miscellaneous,21,28
1,Robbery,8,33
0,Missing Person,13,12
3,Assault,30,29
3,Other Miscellaneous,30,29
3,Malicious Mischief,30,29
4,Lost Property,25,28
4,Malicious Mischief,24,27
4,Other Miscellaneous,24,27
19,Larceny Theft,24,25
0,Larceny Theft,24,3
17,Lost Property,24,32
20,Larceny Theft,20,34
19,Larceny Theft,23,26
16,Larceny Theft,27,29
7,Larceny Theft,24,25
14,Larceny Theft,31,26
23,Lost Property,27,30
12,Larceny Theft,20,12
19,Lost Property,21,28
14,Larceny Theft,26,34
17,Larceny Theft,25,30
16,Larceny Theft,28,32
11,Larceny Theft,22,28
0,Larceny Theft,24,33
22,Larceny Theft,25,15
18,Larceny Theft,29,25
11,Larceny Theft,26,22
9,Larceny Theft,22,14
0,Larceny Theft,31,29
18,Larceny Theft,30,31
0,Larceny Theft,33,21
12,Larceny Theft,23,24
10,Larceny Theft,5,11
13,Larceny Theft,24,10
11,Lost Property,25,29
20,Larceny Theft,23,31
15,Larceny Theft,23,24
13,Larceny Theft,22,25
18,Larceny Theft,24,25
21,Larceny Theft,25,21
20,Lost Property,19,10
17,Larceny Theft,25,18
16,Larceny Theft,25,10
5,Larceny Theft,12,26
19,Larceny Theft,25,13
20,Larceny Theft,26,22
8,Larceny Theft,24,21
19,Larceny Theft,23,25
22,Larceny Theft,23,26
14,Larceny Theft,26,29
0,Larceny Theft,25,33
11,Larceny Theft,22,27
22,Larceny Theft,23,29
13,Malicious Mischief,25,10
15,Lost Property,22,13
12,Larceny Theft,31,26
16,Larceny Theft,32,29
7,Lost Property,30,28
0,Larceny Theft,27,33
1,Larceny Theft,27,33
4,Robbery,3,20
4,Assault,3,20
8,Larceny Theft,20,30
11,Larceny Theft,31,21
15,Larceny Theft,26,30
18,Larceny Theft,23,22
11,Larceny Theft,26,31
13,Larceny Theft,22,13
21,Malicious Mischief,23,29
14,Burglary,22,32
14,Larceny Theft,25,25
3,Larceny Theft,22,23
12,Larceny Theft,32,19
15,Burglary,25,33
11,Larceny Theft,32,26
20,Larceny Theft,32,22
22,Larceny Theft,24,24
4,Drug Offense,27,29
4,Traffic Violation Arrest,27,29
4,Other Miscellaneous,27,29
1,Assault,24,28
5,Non-Criminal,27,26
22,Non-Criminal,30,29
7,Fraud,17,32
5,Malicious Mischief,32,26
12,Other,25,26
1,Robbery,2,26
1,Assault,2,26
1,Assault,2,26
21,Assault,30,31
21,Family Offense,30,31
7,Recovered Vehicle,22,29
6,Missing Person,13,12
7,Traffic Violation Arrest,14,27
7,Other Miscellaneous,14,27
21,Malicious Mischief,26,31
13,Larceny Theft,18,28
6,Recovered Vehicle,12,29
8,Burglary,27,30
8,Larceny Theft,27,30
8,Motor Vehicle Theft,24,26
16,Forgery And Counterfeiting,30,29
23,Larceny Theft,5,30
22,Motor Vehicle Theft,24,14
8,Robbery,3,13
17,Missing Person,1,17
1,Larceny Theft,25,33
1,Malicious Mischief,18,12
19,Burglary,12,13
8,Malicious Mischief,10,10
8,Other Miscellaneous,10,10
8,Motor Vehicle Theft,3,14
2,Miscellaneous Investigation,22,24
8,Non-Criminal,22,33
8,Offences Against The Family And Children,26,27
8,Warrant,26,27
9,Suspicious Occ,16,26
9,Suspicious Occ,22,28
20,Motor Vehicle Theft,22,17
2,Offences Against The Family And Children,14,19
2,Other Miscellaneous,14,19
9,Malicious Mischief,2,26
5,Motor Vehicle Theft,26,31
10,Larceny Theft,33,25
7,Non-Criminal,28,24
8,Drug Offense,22,24
12,Non-Criminal,25,28
0,Malicious Mischief,13,15
8,Non-Criminal,30,29
15,Lost Property,12,27
14,Offences Against The Family And Children,18,5
14,Offences Against The Family And Children,18,5
14,Malicious Mischief,18,5
9,Lost Property,8,26
0,Larceny Theft,27,29
11,Malicious Mischief,40,37
9,Non-Criminal,28,26
10,Assault,27,30
11,Assault,20,26
20,Larceny Theft,13,28
20,Non-Criminal,13,28
9,Assault,27,29
11,Assault,22,2
10,Larceny Theft,30,31
0,Suspicious Occ,24,22
0,Missing Person,24,22
10,Sex Offense,23,30
11,Juvenile Offenses,8,33
14,Non-Criminal,3,20
12,Recovered Vehicle,21,2
13,Non-Criminal,21,33
17,Malicious Mischief,18,23
11,Larceny Theft,33,27
20,Larceny Theft,13,28
20,Non-Criminal,13,28
0,Motor Vehicle Theft,33,28
10,Assault,26,29
12,Other Miscellaneous,26,25
19,Larceny Theft,21,24
2,Larceny Theft,6,32
13,Malicious Mischief,4,30
4,Motor Vehicle Theft,6,16
18,Fraud,18,31
11,Other Miscellaneous,25,30
11,Warrant,25,30
20,Malicious Mischief,21,18
13,Assault,23,27
13,Warrant,23,27
14,Motor Vehicle Theft,10,34
11,Non-Criminal,28,32
22,Larceny Theft,14,28
10,Non-Criminal,26,26
10,Non-Criminal,26,26
12,Motor Vehicle Theft,28,32
19,Motor Vehicle Theft,32,29
13,Larceny Theft,26,29
13,Burglary,4,35
14,Juvenile Offenses,1,26
12,Larceny Theft,6,15
17,Other,26,22
9,Larceny Theft,8,32
9,Other Miscellaneous,8,32
11,Non-Criminal,33,28
12,Larceny Theft,20,15
12,Motor Vehicle Theft,39,38
11,Non-Criminal,25,26
11,Larceny Theft,33,27
12,Suspicious Occ,4,35
14,Recovered Vehicle,16,23
14,Embezzlement,30,30
14,Larceny Theft,6,16
18,Missing Person,8,36
8,Fraud,22,24
17,Motor Vehicle Theft,29,23
12,Larceny Theft,26,29
9,Larceny Theft,6,14
9,Fraud,6,14
3,Larceny Theft,27,30
10,Larceny Theft,27,29
10,Warrant,27,29
13,Robbery,29,30
13,Assault,29,30
2,Burglary,31,28
17,Recovered Vehicle,23,27
12,Larceny Theft,24,21
12,Fraud,24,21
11,Non-Criminal,28,32
12,Larceny Theft,12,10
16,Other Miscellaneous,22,26
16,Other Offenses,22,26
7,Courtesy Report,30,28
7,Lost Property,30,28
11,Larceny Theft,12,7
13,Suspicious Occ,28,28
12,Robbery,26,26
12,Burglary,30,24
17,Larceny Theft,19,25
10,Assault,26,22
10,Disorderly Conduct,26,22
20,Disorderly Conduct,11,34
12,Malicious Mischief,14,5
20,Burglary,6,20
17,Motor Vehicle Theft,27,26
15,Malicious Mischief,19,22
15,Non-Criminal,19,22
19,Larceny Theft,18,28
18,Warrant,4,11
18,Warrant,4,11
11,Assault,23,28
18,Assault,22,21
16,Larceny Theft,33,28
16,Fraud,33,28
16,Lost Property,25,25
10,Motor Vehicle Theft,29,25
16,Recovered Vehicle,40,38
17,Non-Criminal,21,19
19,Other Miscellaneous,23,26
19,Other Miscellaneous,23,26
17,Non-Criminal,26,28
17,Suspicious Occ,26,28
18,Non-Criminal,24,14
6,Malicious Mischief,6,33
19,Larceny Theft,6,15
13,Larceny Theft,33,28
21,Drug Offense,10,25
21,Other Miscellaneous,10,25
21,Warrant,10,25
21,Non-Criminal,23,20
16,Larceny Theft,33,28
16,Malicious Mischief,33,28
22,Non-Criminal,25,31
18,Larceny Theft,22,20
18,Larceny Theft,21,19
18,Warrant,21,19
20,Traffic Violation Arrest,17,26
20,Other Miscellaneous,17,26
19,Larceny Theft,33,28
18,Larceny Theft,12,29
1,Burglary,19,29
2,Assault,13,26
17,Missing Person,5,22
21,Robbery,30,30
9,Burglary,27,20
14,Larceny Theft,25,33
13,Larceny Theft,28,33
13,Fraud,28,33
13,Fraud,28,33
16,Warrant,7,28
17,Burglary,27,30
17,Other Miscellaneous,27,30
17,Warrant,27,30
19,Other Miscellaneous,26,14
23,Assault,25,28
23,Larceny Theft,25,28
19,Offences Against The Family And Children,9,35
18,Disorderly Conduct,26,27
18,Malicious Mischief,26,27
16,Larceny Theft,29,29
18,Other Miscellaneous,1,26
18,Other Miscellaneous,1,26
17,Non-Criminal,23,13
19,Sex Offense,19,26
19,Malicious Mischief,19,26
19,Assault,26,26
19,Offences Against The Family And Children,26,26
16,Motor Vehicle Theft,40,38
16,Other Miscellaneous,40,38
16,Warrant,40,38
18,Robbery,29,31
18,Other Miscellaneous,29,31
5,Other Miscellaneous,27,22
5,Suspicious Occ,27,22
17,Larceny Theft,22,26
17,Offences Against The Family And Children,23,33
18,Assault,25,30
20,Assault,22,33
20,Larceny Theft,22,33
20,Non-Criminal,23,28
18,Motor Vehicle Theft,5,11
16,Non-Criminal,14,29
20,Juvenile Offenses,4,17
22,Non-Criminal,24,32
22,Other Miscellaneous,24,32
18,Motor Vehicle Theft,24,20
20,Missing Person,18,24
20,Missing Person,18,24
22,Robbery,26,29
22,Juvenile Offenses,26,29
20,Traffic Violation Arrest,21,26
20,Other Miscellaneous,21,26
23,Larceny Theft,22,28
17,Robbery,25,24
23,Assault,18,22
23,Non-Criminal,25,27
21,Assault,19,25
17,Civil Sidewalks,20,24
23,Prostitution,18,26
21,Missing Person,21,23
22,Miscellaneous Investigation,14,26
17,Larceny Theft,24,29
19,Non-Criminal,2,26
15,Motor Vehicle Theft,6,16
1,Other Miscellaneous,18,22
1,Other Miscellaneous,18,21
21,Traffic Violation Arrest,32,25
21,Other Miscellaneous,32,25
21,Motor Vehicle Theft,25,16
1,Assault,10,33
22,Robbery,26,29
18,Missing Person,19,13
0,Larceny Theft,27,26
2,Assault,27,26
2,Other Miscellaneous,7,38
23,Larceny Theft,14,34
18,Missing Person,19,13
23,Suspicious Occ,27,32
2,Assault,24,31
2,Assault,14,26
2,Assault,14,26
2,Weapons Carrying Etc,14,26
23,Robbery,5,19
1,Larceny Theft,2,16
3,Malicious Mischief,12,10
2,Assault,26,26
2,Assault,26,26
2,Other Miscellaneous,26,26
21,Non-Criminal,8,37
22,Larceny Theft,25,31
1,Non-Criminal,24,15
14,Lost Property,7,11
23,Lost Property,21,24
2,Malicious Mischief,24,17
18,Larceny Theft,23,25
14,Larceny Theft,27,29
0,Larceny Theft,18,10
19,Larceny Theft,17,8
18,Larceny Theft,6,15
17,Larceny Theft,21,22
23,Larceny Theft,23,25
12,Lost Property,29,30
18,Larceny Theft,32,25
9,Larceny Theft,1,9
1,Larceny Theft,21,24
12,Lost Property,27,30
19,Lost Property,11,10
14,Malicious Mischief,7,10
21,Larceny Theft,24,18
14,Larceny Theft,27,29
13,Larceny Theft,31,29
20,Larceny Theft,1,13
17,Larceny Theft,14,12
16,Larceny Theft,20,15
19,Lost Property,15,19
0,Larceny Theft,28,25
4,Larceny Theft,23,24
18,Larceny Theft,6,9
21,Larceny Theft,18,18
18,Larceny Theft,23,25
13,Larceny Theft,28,30
10,Larceny Theft,8,5
18,Larceny Theft,20,18
11,Larceny Theft,18,20
22,Malicious Mischief,24,18
19,Larceny Theft,18,9
22,Larceny Theft,28,32
10,Larceny Theft,8,5
18,Larceny Theft,33,27
22,Larceny Theft,28,32
0,Missing Person,23,26
4,Burglary,27,30
21,Arson,8,34
3,Burglary,18,4
0,Robbery,25,27
4,Non-Criminal,20,26
0,Motor Vehicle Theft,25,31
5,Missing Person,19,13
14,Burglary,2,21
5,Robbery,15,26
5,Assault,15,26
5,Malicious Mischief,15,26
7,Non-Criminal,5,15
5,Assault,26,30
5,Warrant,26,30
7,Missing Person,19,13
14,Larceny Theft,25,33
6,Burglary,11,12
10,Non-Criminal,24,2
20,Assault,9,31
20,Larceny Theft,9,31
17,Burglary,27,29
17,Larceny Theft,27,29
17,Warrant,27,29
7,Non-Criminal,15,19
20,Non-Criminal,25,28
19,Malicious Mischief,27,27
8,Non-Criminal,11,8
9,Warrant,21,19
8,Disorderly Conduct,15,29
8,Other Offenses,15,29
16,Motor Vehicle Theft,4,16
0,Other,11,37
0,Missing Person,11,37
10,Non-Criminal,23,14
9,Rape,23,28
9,Rape,23,28
9,Other Miscellaneous,23,28
22,Larceny Theft,27,26
22,Fraud,27,26
9,Non-Criminal,25,27
20,Offences Against The Family And Children,24,20
20,Malicious Mischief,24,20
5,Burglary,25,31
9,Assault,22,25
12,Non-Criminal,23,30
9,Offences Against The Family And Children,1,28
10,Other Miscellaneous,5,17
16,Missing Person,10,36
1,Burglary,30,28
11,Burglary,26,26
19,Motor Vehicle Theft,22,9
17,Burglary,7,33
0,Larceny Theft,27,26
11,Recovered Vehicle,23,7
11,Non-Criminal,18,22
8,Other Miscellaneous,24,27
8,Other Offenses,24,27
8,Warrant,24,27
21,Burglary,24,29
8,Burglary,32,21
18,Malicious Mischief,21,33
19,Robbery,6,30
19,Offences Against The Family And Children,6,30
21,Larceny Theft,26,15
1,Malicious Mischief,21,29
11,Larceny Theft,25,19
9,Non-Criminal,17,24
8,Assault,26,30
7,Civil Sidewalks,21,18
11,Larceny Theft,25,29
16,Other Miscellaneous,33,29
8,Civil Sidewalks,21,19
10,Non-Criminal,2,26
8,Civil Sidewalks,21,19
9,Larceny Theft,25,21
8,Larceny Theft,31,28
8,Civil Sidewalks,21,19
9,Civil Sidewalks,21,19
18,Embezzlement,9,30
11,Motor Vehicle Theft,23,27
12,Warrant,7,35
15,Larceny Theft,8,21
15,Fraud,8,21
4,Burglary,27,30
11,Larceny Theft,26,30
18,Motor Vehicle Theft,5,33
11,Larceny Theft,28,33
11,Larceny Theft,28,33
11,Fraud,28,33
21,Motor Vehicle Theft,28,27
10,Larceny Theft,4,14
10,Malicious Mischief,4,14
10,Non-Criminal,4,14
18,Missing Person,6,30
12,Larceny Theft,23,20
22,Malicious Mischief,7,25
10,Disorderly Conduct,16,25
10,Other Miscellaneous,16,25
7,Non-Criminal,20,23
13,Other Miscellaneous,24,27
13,Other Offenses,24,27
13,Warrant,24,27
3,Robbery,26,26
3,Assault,26,26
12,Vandalism,27,29
12,Warrant,27,29
14,Non-Criminal,19,11
13,Assault,13,32
16,Malicious Mischief,7,25
13,Warrant,24,28
13,Larceny Theft,26,28
11,Civil Sidewalks,21,19
15,Missing Person,8,29
12,Larceny Theft,27,29
12,Other Miscellaneous,27,29
12,Warrant,27,29
13,Sex Offense,27,30
13,Other Miscellaneous,27,30
13,Non-Criminal,27,30
13,Assault,17,24
14,Warrant,24,27
14,Warrant,24,27
20,Motor Vehicle Theft,21,28
11,Burglary,27,29
11,Other Miscellaneous,27,29
11,Warrant,27,29
13,Assault,25,28
23,Motor Vehicle Theft,19,18
19,Burglary,31,19
19,Sex Offense,19,26
19,Malicious Mischief,19,26
1,Larceny Theft,20,26
8,Other Miscellaneous,26,19
8,Suspicious Occ,26,19
10,Assault,21,24
10,Offences Against The Family And Children,21,24
10,Other Miscellaneous,21,24
18,Larceny Theft,1,14
0,Assault,2,26
0,Assault,2,26
0,Other Miscellaneous,2,26
8,Motor Vehicle Theft,21,29
23,Robbery,21,25
16,Recovered Vehicle,24,20
11,Non-Criminal,11,12
12,Larceny Theft,18,34
15,Larceny Theft,24,14
19,Motor Vehicle Theft,23,32
14,Suspicious Occ,30,28
14,Courtesy Report,30,28
1,Larceny Theft,32,25
13,Missing Person,11,24
12,Civil Sidewalks,21,18
14,Larceny Theft,25,19
17,Motor Vehicle Theft,17,2
15,Fraud,26,25
15,Drug Offense,26,25
15,Traffic Violation Arrest,26,25
11,Lost Property,23,30
12,Non-Criminal,20,17
12,Recovered Vehicle,20,25
11,Recovered Vehicle,19,26
15,Larceny Theft,27,34
17,Non-Criminal,26,20
16,Larceny Theft,12,27
15,Miscellaneous Investigation,21,23
16,Recovered Vehicle,8,20
14,Malicious Mischief,12,11
10,Malicious Mischief,22,11
17,Larceny Theft,25,26
16,Other Miscellaneous,23,19
16,Warrant,23,19
17,Assault,23,27
20,Larceny Theft,28,29
0,Malicious Mischief,22,12
17,Larceny Theft,23,26
17,Other,25,23
15,Stolen Property,26,26
15,Other Miscellaneous,26,26
15,Larceny Theft,33,28
16,Non-Criminal,21,18
17,Warrant,19,26
17,Missing Person,17,32
17,Missing Person,17,32
16,Non-Criminal,27,24
19,Other Offenses,4,33
18,Missing Person,8,29
10,Larceny Theft,31,26
2,Assault,31,22
19,Weapons Offense,23,27
15,Larceny Theft,22,13
2,Motor Vehicle Theft,30,21
13,Larceny Theft,26,29
20,Robbery,8,32
15,Civil Sidewalks,21,19
18,Other Offenses,21,19
18,Civil Sidewalks,21,19
19,Traffic Violation Arrest,2,12
19,Other Miscellaneous,2,12
20,Robbery,25,26
16,Civil Sidewalks,21,19
20,Recovered Vehicle,13,33
