x1,x2,x3,x4,x5
10,Non-Criminal,26,30,1
0,Suspicious Occ,26,27,1
9,Miscellaneous Investigation,12,28,1
0,Malicious Mischief,15,26,2
11,Robbery,23,26,4
7,Warrant,23,29,1
7,Other Miscellaneous,23,29,1
21,Assault,17,27,4
8,Non-Criminal,16,24,1
23,Malicious Mischief,19,28,2
8,Larceny Theft,8,29,4
12,Recovered Vehicle,24,13,1
0,Burglary,7,30,4
11,Larceny Theft,32,25,4
3,Larceny Theft,8,28,4
9,Larceny Theft,4,5,4
14,Larceny Theft,26,29,4
11,Motor Vehicle Theft,27,26,4
14,Larceny Theft,33,26,4
12,Warrant,16,32,1
10,Suspicious Occ,11,20,1
12,Malicious Mischief,6,15,2
21,Motor Vehicle Theft,30,19,4
11,Larceny Theft,19,13,4
23,Motor Vehicle Theft,13,29,4
11,Larceny Theft,23,22,4
4,Other Miscellaneous,23,26,1
13,Recovered Vehicle,26,26,1
20,Larceny Theft,5,19,4
12,Larceny Theft,31,26,4
12,Other Miscellaneous,24,27,1
12,Lost Property,2,33,1
12,Other Miscellaneous,25,26,1
12,Other Miscellaneous,25,26,1
11,Larceny Theft,20,12,4
8,Burglary,8,30,4
12,Warrant,27,26,1
12,Missing Person,27,26,1
16,Motor Vehicle Theft,1,14,4
11,Larceny Theft,33,28,4
14,Larceny Theft,33,29,4
13,Assault,27,32,4
13,Disorderly Conduct,27,32,2
13,Other Miscellaneous,27,32,1
18,Motor Vehicle Theft,27,24,4
12,Larceny Theft,31,26,4
11,Non-Criminal,33,27,1
7,Larceny Theft,31,26,4
11,Larceny Theft,19,7,4
13,Offences Against The Family And Children,23,28,2
13,Larceny Theft,15,19,4
17,Motor Vehicle Theft,25,4,4
14,Robbery,26,29,4
14,Assault,26,29,4
14,Offences Against The Family And Children,26,29,2
13,Larceny Theft,33,27,4
15,Burglary,4,29,4
13,Larceny Theft,24,24,4
14,Non-Criminal,24,23,1
4,Larceny Theft,24,18,4
4,Other Miscellaneous,24,18,1
4,Other Miscellaneous,24,18,1
13,Warrant,32,27,1
10,Forgery And Counterfeiting,22,32,2
15,Larceny Theft,25,25,4
15,Robbery,25,21,4
15,Malicious Mischief,7,22,2
15,Suspicious Occ,5,23,1
15,Other Miscellaneous,5,23,1
20,Motor Vehicle Theft,26,20,4
15,Larceny Theft,39,37,4
7,Disorderly Conduct,23,27,2
16,Other Miscellaneous,21,19,1
9,Larceny Theft,9,18,4
9,Case Closure,9,18,1
11,Non-Criminal,12,23,1
11,Miscellaneous Investigation,12,23,1
18,Motor Vehicle Theft,21,17,4
13,Drug Offense,23,27,2
13,Drug Offense,23,27,2
13,Other Miscellaneous,23,27,1
3,Suspicious Occ,23,16,1
10,Larceny Theft,32,29,4
15,Assault,31,22,4
12,Burglary,17,14,4
11,Larceny Theft,25,30,4
16,Non-Criminal,22,23,1
16,Larceny Theft,29,29,4
16,Offences Against The Family And Children,29,29,2
12,Larceny Theft,33,25,4
2,Larceny Theft,22,6,4
8,Weapons Offense,13,3,2
8,Disorderly Conduct,13,3,2
23,Missing Person,26,14,1
20,Larceny Theft,7,11,4
10,Burglary,20,30,4
22,Larceny Theft,20,23,4
10,Non-Criminal,27,29,1
11,Larceny Theft,23,3,4
11,Non-Criminal,23,3,1
11,Larceny Theft,23,28,4
17,Recovered Vehicle,23,27,1
4,Non-Criminal,30,28,1
17,Motor Vehicle Theft,25,23,4
10,Other Offenses,22,32,1
13,Other Miscellaneous,11,22,1
15,Suspicious Occ,4,31,1
15,Other Miscellaneous,4,31,1
19,Warrant,21,18,1
19,Civil Sidewalks,21,18,2
19,Other Miscellaneous,26,28,1
17,Larceny Theft,29,26,4
22,Forgery And Counterfeiting,26,22,2
19,Assault,23,16,4
19,Non-Criminal,23,16,1
15,Disorderly Conduct,25,27,2
18,Other Miscellaneous,21,19,1
18,Warrant,21,19,1
18,Missing Person,21,19,1
18,Larceny Theft,33,27,4
18,Non-Criminal,23,3,1
17,Robbery,26,29,4
19,Larceny Theft,19,26,4
19,Larceny Theft,24,26,4
15,Non-Criminal,26,27,1
20,Assault,6,22,4
17,Assault,2,29,4
17,Miscellaneous Investigation,2,29,1
18,Other Miscellaneous,10,24,1
18,Civil Sidewalks,21,17,2
10,Miscellaneous Investigation,11,28,1
19,Larceny Theft,25,19,4
18,Suspicious Occ,27,30,1
17,Malicious Mischief,12,24,2
18,Larceny Theft,30,15,4
17,Larceny Theft,26,31,4
19,Larceny Theft,33,27,4
17,Larceny Theft,28,30,4
17,Other Miscellaneous,28,30,1
19,Robbery,5,21,4
19,Other Miscellaneous,23,14,1
19,Other Miscellaneous,23,14,1
21,Robbery,27,30,4
21,Assault,27,30,4
21,Case Closure,27,30,1
21,Robbery,27,29,4
21,Case Closure,27,29,1
14,Robbery,8,35,4
14,Case Closure,8,35,1
8,Malicious Mischief,26,34,2
2,Burglary,21,24,4
21,Assault,24,29,4
11,Burglary,30,30,4
18,Larceny Theft,18,34,4
11,Larceny Theft,19,13,4
14,Larceny Theft,22,33,4
11,Burglary,27,29,4
11,Other Miscellaneous,27,29,1
12,Larceny Theft,7,11,4
15,Miscellaneous Investigation,17,9,1
15,Motor Vehicle Theft,6,35,4
15,Stolen Property,6,35,2
16,Offences Against The Family And Children,9,35,2
17,Recovered Vehicle,23,27,1
17,Other Miscellaneous,23,27,1
16,Robbery,40,37,4
16,Disorderly Conduct,40,37,2
16,Other Miscellaneous,40,37,1
10,Larceny Theft,7,11,4
19,Robbery,9,33,4
17,Assault,8,33,4
17,Offences Against The Family And Children,8,33,2
19,Assault,21,18,4
19,Drug Offense,21,18,2
17,Assault,18,26,4
17,Other Miscellaneous,18,26,1
18,Assault,11,14,4
18,Assault,11,14,4
18,Other Miscellaneous,11,14,1
19,Robbery,8,34,4
20,Recovered Vehicle,22,29,1
17,Suspicious Occ,16,32,1
17,Missing Person,25,20,1
17,Missing Person,25,20,1
20,Larceny Theft,23,19,4
20,Larceny Theft,10,28,4
12,Suspicious Occ,21,31,1
17,Larceny Theft,26,23,4
13,Robbery,24,16,4
13,Non-Criminal,24,16,1
15,Larceny Theft,27,29,4
20,Non-Criminal,13,12,1
15,Other,4,11,1
21,Non-Criminal,5,19,1
17,Fraud,23,27,2
17,Fraud,23,27,2
17,Larceny Theft,23,27,4
18,Larceny Theft,27,29,4
17,Recovered Vehicle,17,30,1
21,Offences Against The Family And Children,26,34,2
15,Other Miscellaneous,17,20,1
15,Other Miscellaneous,17,20,1
20,Offences Against The Family And Children,25,30,2
19,Arson,22,24,4
21,Larceny Theft,15,27,4
22,Burglary,31,22,4
22,Larceny Theft,31,22,4
0,Non-Criminal,25,28,1
22,Larceny Theft,30,31,4
10,Larceny Theft,14,29,4
23,Larceny Theft,20,25,4
20,Assault,17,11,4
20,Offences Against The Family And Children,17,11,2
20,Motor Vehicle Theft,29,27,4
15,Miscellaneous Investigation,21,31,1
19,Larceny Theft,27,29,4
16,Burglary,6,27,4
0,Non-Criminal,17,9,1
20,Larceny Theft,22,21,4
23,Prostitution,17,27,2
23,Other Miscellaneous,17,27,1
18,Suspicious Occ,18,25,1
21,Suspicious Occ,4,35,1
1,Robbery,9,33,4
0,Other Miscellaneous,17,22,1
0,Other Miscellaneous,17,22,1
15,Missing Person,21,23,1
1,Non-Criminal,8,29,1
1,Other Miscellaneous,8,29,1
2,Non-Criminal,25,28,1
0,Other Miscellaneous,28,25,1
0,Malicious Mischief,28,25,2
0,Non-Criminal,28,25,1
1,Robbery,7,23,4
1,Non-Criminal,9,24,1
23,Larceny Theft,25,30,4
16,Disorderly Conduct,2,16,2
16,Suspicious Occ,2,16,1
2,Non-Criminal,21,25,1
2,Other Miscellaneous,21,25,1
2,Assault,4,17,4
23,Assault,11,35,4
2,Other Miscellaneous,21,28,1
1,Robbery,8,33,4
0,Missing Person,13,12,1
3,Assault,30,29,4
3,Other Miscellaneous,30,29,1
3,Malicious Mischief,30,29,2
4,Lost Property,25,28,1
4,Malicious Mischief,24,27,2
4,Other Miscellaneous,24,27,1
19,Larceny Theft,24,25,4
0,Larceny Theft,24,3,4
17,Lost Property,24,32,1
20,Larceny Theft,20,34,4
19,Larceny Theft,23,26,4
16,Larceny Theft,27,29,4
7,Larceny Theft,24,25,4
14,Larceny Theft,31,26,4
23,Lost Property,27,30,1
12,Larceny Theft,20,12,4
19,Lost Property,21,28,1
14,Larceny Theft,26,34,4
17,Larceny Theft,25,30,4
16,Larceny Theft,28,32,4
11,Larceny Theft,22,28,4
0,Larceny Theft,24,33,4
22,Larceny Theft,25,15,4
18,Larceny Theft,29,25,4
11,Larceny Theft,26,22,4
9,Larceny Theft,22,14,4
0,Larceny Theft,31,29,4
18,Larceny Theft,30,31,4
0,Larceny Theft,33,21,4
12,Larceny Theft,23,24,4
10,Larceny Theft,5,11,4
13,Larceny Theft,24,10,4
11,Lost Property,25,29,1
20,Larceny Theft,23,31,4
15,Larceny Theft,23,24,4
13,Larceny Theft,22,25,4
18,Larceny Theft,24,25,4
21,Larceny Theft,25,21,4
20,Lost Property,19,10,1
17,Larceny Theft,25,18,4
16,Larceny Theft,25,10,4
5,Larceny Theft,12,26,4
19,Larceny Theft,25,13,4
20,Larceny Theft,26,22,4
8,Larceny Theft,24,21,4
19,Larceny Theft,23,25,4
22,Larceny Theft,23,26,4
14,Larceny Theft,26,29,4
0,Larceny Theft,25,33,4
11,Larceny Theft,22,27,4
22,Larceny Theft,23,29,4
13,Malicious Mischief,25,10,2
15,Lost Property,22,13,1
12,Larceny Theft,31,26,4
16,Larceny Theft,32,29,4
7,Lost Property,30,28,1
0,Larceny Theft,27,33,4
1,Larceny Theft,27,33,4
4,Robbery,3,20,4
4,Assault,3,20,4
8,Larceny Theft,20,30,4
11,Larceny Theft,31,21,4
15,Larceny Theft,26,30,4
18,Larceny Theft,23,22,4
11,Larceny Theft,26,31,4
13,Larceny Theft,22,13,4
21,Malicious Mischief,23,29,2
14,Burglary,22,32,4
14,Larceny Theft,25,25,4
3,Larceny Theft,22,23,4
12,Larceny Theft,32,19,4
15,Burglary,25,33,4
11,Larceny Theft,32,26,4
20,Larceny Theft,32,22,4
22,Larceny Theft,24,24,4
4,Drug Offense,27,29,2
4,Traffic Violation Arrest,27,29,1
4,Other Miscellaneous,27,29,1
1,Assault,24,28,4
5,Non-Criminal,27,26,1
22,Non-Criminal,30,29,1
7,Fraud,17,32,2
5,Malicious Mischief,32,26,2
12,Other,25,26,1
1,Robbery,2,26,4
1,Assault,2,26,4
1,Assault,2,26,4
21,Assault,30,31,4
21,Family Offense,30,31,2
7,Recovered Vehicle,22,29,1
6,Missing Person,13,12,1
7,Traffic Violation Arrest,14,27,1
7,Other Miscellaneous,14,27,1
21,Malicious Mischief,26,31,2
13,Larceny Theft,18,28,4
6,Recovered Vehicle,12,29,1
8,Burglary,27,30,4
8,Larceny Theft,27,30,4
8,Motor Vehicle Theft,24,26,4
16,Forgery And Counterfeiting,30,29,2
23,Larceny Theft,5,30,4
22,Motor Vehicle Theft,24,14,4
8,Robbery,3,13,4
17,Missing Person,1,17,1
1,Larceny Theft,25,33,4
1,Malicious Mischief,18,12,2
19,Burglary,12,13,4
8,Malicious Mischief,10,10,2
8,Other Miscellaneous,10,10,1
8,Motor Vehicle Theft,3,14,4
2,Miscellaneous Investigation,22,24,1
8,Non-Criminal,22,33,1
8,Offences Against The Family And Children,26,27,2
8,Warrant,26,27,1
9,Suspicious Occ,16,26,1
9,Suspicious Occ,22,28,1
20,Motor Vehicle Theft,22,17,4
2,Offences Against The Family And Children,14,19,2
2,Other Miscellaneous,14,19,1
9,Malicious Mischief,2,26,2
5,Motor Vehicle Theft,26,31,4
10,Larceny Theft,33,25,4
7,Non-Criminal,28,24,1
8,Drug Offense,22,24,2
12,Non-Criminal,25,28,1
0,Malicious Mischief,13,15,2
8,Non-Criminal,30,29,1
15,Lost Property,12,27,1
14,Offences Against The Family And Children,18,5,2
14,Offences Against The Family And Children,18,5,2
14,Malicious Mischief,18,5,2
9,Lost Property,8,26,1
0,Larceny Theft,27,29,4
11,Malicious Mischief,40,37,2
9,Non-Criminal,28,26,1
10,Assault,27,30,4
11,Assault,20,26,4
20,Larceny Theft,13,28,4
20,Non-Criminal,13,28,1
9,Assault,27,29,4
11,Assault,22,2,4
10,Larceny Theft,30,31,4
0,Suspicious Occ,24,22,1
0,Missing Person,24,22,1
10,Sex Offense,23,30,2
11,Juvenile Offenses,8,33,1
14,Non-Criminal,3,20,1
12,Recovered Vehicle,21,2,1
13,Non-Criminal,21,33,1
17,Malicious Mischief,18,23,2
11,Larceny Theft,33,27,4
20,Larceny Theft,13,28,4
20,Non-Criminal,13,28,1
0,Motor Vehicle Theft,33,28,4
10,Assault,26,29,4
12,Other Miscellaneous,26,25,1
19,Larceny Theft,21,24,4
2,Larceny Theft,6,32,4
13,Malicious Mischief,4,30,2
4,Motor Vehicle Theft,6,16,4
18,Fraud,18,31,2
11,Other Miscellaneous,25,30,1
11,Warrant,25,30,1
20,Malicious Mischief,21,18,2
13,Assault,23,27,4
13,Warrant,23,27,1
14,Motor Vehicle Theft,10,34,4
11,Non-Criminal,28,32,1
22,Larceny Theft,14,28,4
10,Non-Criminal,26,26,1
10,Non-Criminal,26,26,1
12,Motor Vehicle Theft,28,32,4
19,Motor Vehicle Theft,32,29,4
13,Larceny Theft,26,29,4
13,Burglary,4,35,4
14,Juvenile Offenses,1,26,1
12,Larceny Theft,6,15,4
17,Other,26,22,1
9,Larceny Theft,8,32,4
9,Other Miscellaneous,8,32,1
11,Non-Criminal,33,28,1
12,Larceny Theft,20,15,4
12,Motor Vehicle Theft,39,38,4
11,Non-Criminal,25,26,1
11,Larceny Theft,33,27,4
12,Suspicious Occ,4,35,1
14,Recovered Vehicle,16,23,1
14,Embezzlement,30,30,2
14,Larceny Theft,6,16,4
18,Missing Person,8,36,1
8,Fraud,22,24,2
17,Motor Vehicle Theft,29,23,4
12,Larceny Theft,26,29,4
9,Larceny Theft,6,14,4
9,Fraud,6,14,2
3,Larceny Theft,27,30,4
10,Larceny Theft,27,29,4
10,Warrant,27,29,1
13,Robbery,29,30,4
13,Assault,29,30,4
2,Burglary,31,28,4
17,Recovered Vehicle,23,27,1
12,Larceny Theft,24,21,4
12,Fraud,24,21,2
11,Non-Criminal,28,32,1
12,Larceny Theft,12,10,4
16,Other Miscellaneous,22,26,1
16,Other Offenses,22,26,1
7,Courtesy Report,30,28,1
7,Lost Property,30,28,1
11,Larceny Theft,12,7,4
13,Suspicious Occ,28,28,1
12,Robbery,26,26,4
12,Burglary,30,24,4
17,Larceny Theft,19,25,4
10,Assault,26,22,4
10,Disorderly Conduct,26,22,2
20,Disorderly Conduct,11,34,2
12,Malicious Mischief,14,5,2
20,Burglary,6,20,4
17,Motor Vehicle Theft,27,26,4
15,Malicious Mischief,19,22,2
15,Non-Criminal,19,22,1
19,Larceny Theft,18,28,4
18,Warrant,4,11,1
18,Warrant,4,11,1
11,Assault,23,28,4
18,Assault,22,21,4
16,Larceny Theft,33,28,4
16,Fraud,33,28,2
16,Lost Property,25,25,1
10,Motor Vehicle Theft,29,25,4
16,Recovered Vehicle,40,38,1
17,Non-Criminal,21,19,1
19,Other Miscellaneous,23,26,1
19,Other Miscellaneous,23,26,1
17,Non-Criminal,26,28,1
17,Suspicious Occ,26,28,1
18,Non-Criminal,24,14,1
6,Malicious Mischief,6,33,2
19,Larceny Theft,6,15,4
13,Larceny Theft,33,28,4
21,Drug Offense,10,25,2
21,Other Miscellaneous,10,25,1
21,Warrant,10,25,1
21,Non-Criminal,23,20,1
16,Larceny Theft,33,28,4
16,Malicious Mischief,33,28,2
22,Non-Criminal,25,31,1
18,Larceny Theft,22,20,4
18,Larceny Theft,21,19,4
18,Warrant,21,19,1
20,Traffic Violation Arrest,17,26,1
20,Other Miscellaneous,17,26,1
19,Larceny Theft,33,28,4
18,Larceny Theft,12,29,4
1,Burglary,19,29,4
2,Assault,13,26,4
17,Missing Person,5,22,1
21,Robbery,30,30,4
9,Burglary,27,20,4
14,Larceny Theft,25,33,4
13,Larceny Theft,28,33,4
13,Fraud,28,33,2
13,Fraud,28,33,2
16,Warrant,7,28,1
17,Burglary,27,30,4
17,Other Miscellaneous,27,30,1
17,Warrant,27,30,1
19,Other Miscellaneous,26,14,1
23,Assault,25,28,4
23,Larceny Theft,25,28,4
19,Offences Against The Family And Children,9,35,2
18,Disorderly Conduct,26,27,2
18,Malicious Mischief,26,27,2
16,Larceny Theft,29,29,4
18,Other Miscellaneous,1,26,1
18,Other Miscellaneous,1,26,1
17,Non-Criminal,23,13,1
19,Sex Offense,19,26,2
19,Malicious Mischief,19,26,2
19,Assault,26,26,4
19,Offences Against The Family And Children,26,26,2
16,Motor Vehicle Theft,40,38,4
16,Other Miscellaneous,40,38,1
16,Warrant,40,38,1
18,Robbery,29,31,4
18,Other Miscellaneous,29,31,1
5,Other Miscellaneous,27,22,1
5,Suspicious Occ,27,22,1
17,Larceny Theft,22,26,4
17,Offences Against The Family And Children,23,33,2
18,Assault,25,30,4
20,Assault,22,33,4
20,Larceny Theft,22,33,4
20,Non-Criminal,23,28,1
18,Motor Vehicle Theft,5,11,4
16,Non-Criminal,14,29,1
20,Juvenile Offenses,4,17,1
22,Non-Criminal,24,32,1
22,Other Miscellaneous,24,32,1
18,Motor Vehicle Theft,24,20,4
20,Missing Person,18,24,1
20,Missing Person,18,24,1
22,Robbery,26,29,4
22,Juvenile Offenses,26,29,1
20,Traffic Violation Arrest,21,26,1
20,Other Miscellaneous,21,26,1
23,Larceny Theft,22,28,4
17,Robbery,25,24,4
23,Assault,18,22,4
23,Non-Criminal,25,27,1
21,Assault,19,25,4
17,Civil Sidewalks,20,24,2
23,Prostitution,18,26,2
21,Missing Person,21,23,1
22,Miscellaneous Investigation,14,26,1
17,Larceny Theft,24,29,4
19,Non-Criminal,2,26,1
15,Motor Vehicle Theft,6,16,4
1,Other Miscellaneous,18,22,1
1,Other Miscellaneous,18,21,1
21,Traffic Violation Arrest,32,25,1
21,Other Miscellaneous,32,25,1
21,Motor Vehicle Theft,25,16,4
1,Assault,10,33,4
22,Robbery,26,29,4
18,Missing Person,19,13,1
0,Larceny Theft,27,26,4
2,Assault,27,26,4
2,Other Miscellaneous,7,38,1
23,Larceny Theft,14,34,4
18,Missing Person,19,13,1
23,Suspicious Occ,27,32,1
2,Assault,24,31,4
2,Assault,14,26,4
2,Assault,14,26,4
2,Weapons Carrying Etc,14,26,2
23,Robbery,5,19,4
1,Larceny Theft,2,16,4
3,Malicious Mischief,12,10,2
2,Assault,26,26,4
2,Assault,26,26,4
2,Other Miscellaneous,26,26,1
21,Non-Criminal,8,37,1
22,Larceny Theft,25,31,4
1,Non-Criminal,24,15,1
14,Lost Property,7,11,1
23,Lost Property,21,24,1
2,Malicious Mischief,24,17,2
18,Larceny Theft,23,25,4
14,Larceny Theft,27,29,4
0,Larceny Theft,18,10,4
19,Larceny Theft,17,8,4
18,Larceny Theft,6,15,4
17,Larceny Theft,21,22,4
23,Larceny Theft,23,25,4
12,Lost Property,29,30,1
18,Larceny Theft,32,25,4
9,Larceny Theft,1,9,4
1,Larceny Theft,21,24,4
12,Lost Property,27,30,1
19,Lost Property,11,10,1
14,Malicious Mischief,7,10,2
21,Larceny Theft,24,18,4
14,Larceny Theft,27,29,4
13,Larceny Theft,31,29,4
20,Larceny Theft,1,13,4
17,Larceny Theft,14,12,4
16,Larceny Theft,20,15,4
19,Lost Property,15,19,1
0,Larceny Theft,28,25,4
4,Larceny Theft,23,24,4
18,Larceny Theft,6,9,4
21,Larceny Theft,18,18,4
18,Larceny Theft,23,25,4
13,Larceny Theft,28,30,4
10,Larceny Theft,8,5,4
18,Larceny Theft,20,18,4
11,Larceny Theft,18,20,4
22,Malicious Mischief,24,18,2
19,Larceny Theft,18,9,4
22,Larceny Theft,28,32,4
10,Larceny Theft,8,5,4
18,Larceny Theft,33,27,4
22,Larceny Theft,28,32,4
0,Missing Person,23,26,1
4,Burglary,27,30,4
21,Arson,8,34,4
3,Burglary,18,4,4
0,Robbery,25,27,4
4,Non-Criminal,20,26,1
0,Motor Vehicle Theft,25,31,4
5,Missing Person,19,13,1
14,Burglary,2,21,4
5,Robbery,15,26,4
5,Assault,15,26,4
5,Malicious Mischief,15,26,2
7,Non-Criminal,5,15,1
5,Assault,26,30,4
5,Warrant,26,30,1
7,Missing Person,19,13,1
14,Larceny Theft,25,33,4
6,Burglary,11,12,4
10,Non-Criminal,24,2,1
20,Assault,9,31,4
20,Larceny Theft,9,31,4
17,Burglary,27,29,4
17,Larceny Theft,27,29,4
17,Warrant,27,29,1
7,Non-Criminal,15,19,1
20,Non-Criminal,25,28,1
19,Malicious Mischief,27,27,2
8,Non-Criminal,11,8,1
9,Warrant,21,19,1
8,Disorderly Conduct,15,29,2
8,Other Offenses,15,29,1
16,Motor Vehicle Theft,4,16,4
0,Other,11,37,1
0,Missing Person,11,37,1
10,Non-Criminal,23,14,1
9,Rape,23,28,4
9,Rape,23,28,4
9,Other Miscellaneous,23,28,1
22,Larceny Theft,27,26,4
22,Fraud,27,26,2
9,Non-Criminal,25,27,1
20,Offences Against The Family And Children,24,20,2
20,Malicious Mischief,24,20,2
5,Burglary,25,31,4
9,Assault,22,25,4
12,Non-Criminal,23,30,1
9,Offences Against The Family And Children,1,28,2
10,Other Miscellaneous,5,17,1
16,Missing Person,10,36,1
1,Burglary,30,28,4
11,Burglary,26,26,4
19,Motor Vehicle Theft,22,9,4
17,Burglary,7,33,4
0,Larceny Theft,27,26,4
11,Recovered Vehicle,23,7,1
11,Non-Criminal,18,22,1
8,Other Miscellaneous,24,27,1
8,Other Offenses,24,27,1
8,Warrant,24,27,1
21,Burglary,24,29,4
8,Burglary,32,21,4
18,Malicious Mischief,21,33,2
19,Robbery,6,30,4
19,Offences Against The Family And Children,6,30,2
21,Larceny Theft,26,15,4
1,Malicious Mischief,21,29,2
11,Larceny Theft,25,19,4
9,Non-Criminal,17,24,1
8,Assault,26,30,4
7,Civil Sidewalks,21,18,2
11,Larceny Theft,25,29,4
16,Other Miscellaneous,33,29,1
8,Civil Sidewalks,21,19,2
10,Non-Criminal,2,26,1
8,Civil Sidewalks,21,19,2
9,Larceny Theft,25,21,4
